
Loop 1/101,  Loss_train 0.23025850929940433,  Acc_train 0.09871666666666666, Loss_test 0.23025850929940458, Acc_test 0.09871666666666666
Loop 11/101,  Loss_train 0.09345201065204362,  Acc_train 0.66565, Loss_test 0.09229631575692401, Acc_test 0.66565
Loop 21/101,  Loss_train 0.061401511641136386,  Acc_train 0.79285, Loss_test 0.059514184547001324, Acc_test 0.79285
Loop 31/101,  Loss_train 0.04669568436779759,  Acc_train 0.8634, Loss_test 0.04466074968718448, Acc_test 0.8634
Loop 41/101,  Loss_train 0.040607900201891534,  Acc_train 0.88775, Loss_test 0.038532529440792544, Acc_test 0.88775
Loop 51/101,  Loss_train 0.038797355925852,  Acc_train 0.89305, Loss_test 0.03679386718261033, Acc_test 0.89305
Loop 61/101,  Loss_train 0.0375620014762234,  Acc_train 0.89635, Loss_test 0.035652149899238005, Acc_test 0.89635
Loop 71/101,  Loss_train 0.03659235141266833,  Acc_train 0.8989, Loss_test 0.03477020380218264, Acc_test 0.8989
Loop 81/101,  Loss_train 0.03580022026651111,  Acc_train 0.9012, Loss_test 0.0340569143428253, Acc_test 0.9012
Loop 91/101,  Loss_train 0.03513626440079952,  Acc_train 0.9025833333333333, Loss_test 0.033464256650913925, Acc_test 0.9025833333333333
